country,beer_servings,spirit_servings,wine_servings,Total Alcohol,Rainfall,Rainfall 2,unemployment rate,Population,GDP,Literacy,Temp,Region,Island
Eritrea,18,0,0,0.5,35.83146684,1.410688433,7.199999809,6300000,3444000000,73.84525299,23.39021498,Sub-Saharan Africa,0
Estonia,224,194,59,9.5,629.7873441,24.79479072,7.699999809,1314545,26485161116,99.82350922,5.030938424,Europe,0
Ethiopia,20,3,0,0.7,830.5146461,32.69744467,5.199999809,96958732,55612228234,49.03152084,22.37039295,Sub-Saharan Africa,0
Fiji,77,35,1,2,568.9512482,22.39966754,7.900000095,886450,4531870927,93.7,5.789775013,Pacific,1
Finland,263,133,97,10,524.7011039,20.65753493,8.600000381,5461512,2.72E+11,99,1.347861143,Europe,0
France,127,151,370,11.8,838.929003,33.02871874,9.899999619,66495940,2.83E+12,99,10.54372223,Europe,0
Gabon,347,98,59,8.9,1819.439003,71.63149549,19.70000076,1687673,18179717776,83.23787689,24.99982139,Sub-Saharan Africa,0
Georgia,52,100,149,5.4,959.4367255,37.77311983,13.39999962,3727000,16509305828,99.75962067,7.3648176,Middle East,0
Germany,346,117,175,11.3,713.4997304,28.09055574,5,80982500,3.87E+12,99,8.504451892,Europe,0
Ghana,31,3,10,1.8,1184.944583,46.65138673,2.400000095,26786598,38616536132,76.57589722,27.25177926,Sub-Saharan Africa,0
Greece,133,112,218,8.3,668.2232983,26.30801808,26.29999924,10892413,2.36E+11,95.29286957,13.65550198,Europe,0
Grenada,199,438,28,11.9,1909,75.1575209,32.5,106349,911803777.8,96,25,Caribbean,1
Guatemala,53,69,2,2.2,2841.625769,111.8750907,2.8,16015494,58722323918,79.07421112,25.6195926,Latin America,0
Guinea,9,0,2,0.2,3042.519775,119.7843078,1.7,12275527,6624068016,30.47278976,25.02499962,Sub-Saharan Africa,0
Guinea-Bissau,28,31,21,2.5,1646.948938,64.84054438,2.900000095,1800513,1109009638,59.77285004,26.60800037,Sub-Saharan Africa,0
Guyana,93,302,1,7.1,2364.686485,93.09794338,1.799999952,763893,3077086276,87.53531647,25.79536357,South America,0
